垃圾名稱	圖層順序	圖層名稱	拆解排序	圖層X位置	圖層Y位置	圖層W寬度	圖層H高度	對應部分/材質
牛奶盒	1	下半部	1	266	235	264	272	塑膠淋膜
牛奶盒	2	上半部	2	266	145	264	258	紙盒
牛奶盒	3	瓶蓋	3	330	177	60	57	塑膠旋蓋
超商熱咖啡杯	1	下半部	1	311	163	199	324	塑膠淋膜
超商熱咖啡杯	2	杯套（後）	2	314	246	194	140	隔熱杯套
超商熱咖啡杯	3	上半部	3	307	161	207	190	紙杯身
超商熱咖啡杯	4	杯套（前）	2	314	246	194	140
超商熱咖啡杯	5	杯蓋	4	299	148	222	81.5	塑膠杯蓋
塑膠飲料杯	1	下半部	1	329	188	188	314	塑膠杯
塑膠飲料杯	2	杯蓋（後）	2	326	186.5	194	43	封膜
塑膠飲料杯	3	吸管	3	391	95	63	397	吸管
塑膠飲料杯	4	塑膠杯前緣	1	329	188	188	314
塑膠飲料杯	5	杯蓋（前）	2	326	186.5	194	43
紙製便當盒	1	橡皮圈-下	4	287	188	315	223
紙製便當盒	2	餐盒下	1	117	134	651	354	塑膠淋膜
紙製便當盒	3	餐盒上	2	117	135	651	305	紙
紙製便當盒	4	餐盒蓋	3	113	131	660	313
紙製便當盒	5	橡皮圈-上	4	287	188	315	223	橡皮筋
養樂多	1	塑膠瓶	1	309.3	118.6	231.4	418.8
養樂多	2	鋁製封膜	2	425.1	86.6	107.4	95.4
雨傘	1	傘骨	1	361	143.3	172.7	404.9
雨傘	2	傘布	2	297.2	183.9	246.3	336
雨傘	3	握把配件	3	365.1	75.8	58.8	100.3
夾腳拖	1	夾腳拖	1	237.7	63.6	374.7	496.9
鋁罐	1	鋁罐	1	299.8	78.1	250.5	485.5
玻璃瓶	1	玻璃罐	1	360	68.2	130	489.5
玻璃瓶	2	瓶蓋	2	390.9	66.3	68.2	21.8
網購紙箱	1	膠帶（後）	2	550.3	140	42	112.8
網購紙箱	2	箱體	1	176.5	95.8	496.9	432.4
網購紙箱	3	膠帶（前）	2	242.5	140	349.8	244.4
寶特瓶	1	塑膠套（後）	2	359	206	132	97.8
寶特瓶	2	寶特瓶	1	358.5	85	132.9	454.9
寶特瓶	3	塑膠套（前）	2	359	222.7	132	99.4
寶特瓶	4	瓶蓋	3	395.1	84	60	40
衣架	1	衣架	1	113.8	137	622.5	350
衣架	2	尖端保護套	2	346	159	27.9	30.9
生鮮托盤	1	托盤	1	132.3	170	580.1	284
生鮮托盤	2	保鮮膜	2	448.2	208.3	269.5	242.2
鏡子	1	鏡框	1	275	77.1	300	469.8
鏡子	2	鏡面	2	289.2	91.2	271.7	441.5
