垃圾名稱	圖層順序	圖層名稱	拆解排序	圖層X位置	圖層Y位置	圖層W寬度	圖層H高度	對應部分/材質
牛奶盒	1	下半部	1	266	235	264	272	塑膠淋膜
牛奶盒	2	上半部	2	266	145	264	258	紙盒
牛奶盒	3	瓶蓋	3	330	177	60	57	塑膠旋蓋
超商熱咖啡杯	1	下半部	1	311	163	199	324	塑膠淋膜
超商熱咖啡杯	2	杯套（後）	2	314	246	194	140	隔熱杯套
超商熱咖啡杯	3	上半部	3	307	161	207	190	紙杯身
超商熱咖啡杯	4	杯套（前）	2	314	246	194	140
超商熱咖啡杯	5	杯蓋	4	299	148	222	81.5	塑膠杯蓋
塑膠飲料杯	1	下半部	1	329	188	188	314	塑膠杯
塑膠飲料杯	2	杯蓋（後）	2	326	186.5	194	43	封膜
塑膠飲料杯	3	吸管	3	391	95	63	397	吸管
塑膠飲料杯	4	塑膠杯前緣	1	329	188	188	314
塑膠飲料杯	5	杯蓋（前）	2	326	186.5	194	43
紙製便當盒	1	橡皮圈-下	4	287	188	315	223
紙製便當盒	2	餐盒下	1	117	134	651	354	塑膠淋膜
紙製便當盒	3	餐盒上	2	117	135	651	305	紙
紙製便當盒	4	餐盒蓋	3	113	131	660	313
紙製便當盒	5	橡皮圈-上	4	287	188	315	223	橡皮筋
