品項	填入者	同義詞	登錄	難丟的原因1	難丟的原因2	圖層評估	可分解為哪些部分/材質（for網站）	材質備註	可分解為哪些部分/材質	回收前使用者應做什麼處理	處理步驟備註	使用建議（替代方案）	處理後應該丟哪一類?	處理備註	回收狀況	使用場域	各縣市回收狀況	回收率	資源化比例	資源化比例	文案	內容撰寫QA（vs. REnato）	字數統計	標籤	補充說明	祝福文案	年使用量	有多少廠商願意回收	後續處理流程（可回收/不可回收）
手搖飲料杯（示範格式）		手搖杯、飲料杯、一次性飲料杯、珍珠奶茶	◯	-	-				"吸管-PP/PE
封膜-PP/PE
塑膠杯-PP"	清洗或清理、分解零件			"吸管-一般垃圾
封膜-一般垃圾
塑膠杯-塑膠容器類"		部分可回收	1,2,5,6	"不可回收
不可回收
可回收"	"一般垃圾
一般垃圾
塑膠容器類"
塑膠飲料杯	Re-lab	手搖杯、飲料杯、一次性飲料杯、珍珠奶茶、手搖飲、紅茶、綠茶、QQㄋㄟㄋㄟ好喝到咩噗茶、四季春	◯	使用-回收前需要分離/沖洗		複雜	"吸管-塑膠（PP/PE/PLA）
封膜-塑膠（PP/PE）
塑膠杯-塑膠（PP）"		"吸管-塑膠（PP、PE）
封膜-塑膠（PP、PE）
塑膠杯-塑膠（PP）"	清洗、撕除封膜、正確分類		使用環保杯啦！	"吸管-一般垃圾
封膜-一般垃圾
塑膠杯-塑膠容器類"		部分可回收	1,2,5,6,7	"吸管-不可回收
封膜-不可回收
塑膠杯-可回收"	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	沒事就想來杯手搖飲料犒賞自己嗎？近年廠商除了可以回收的 PP 塑膠杯外，還可能選用號稱生物可分解的 PLA 塑膠杯。雖然如果上頭有回收標誌的都請丟入資源回收，但是像是「其實不是塑膠」的 PLA 杯最後還是會被挑出以焚化處理。盡可能自備環保杯購買，可以享折扣又減少垃圾喔！	 	135	A		飲料就會打翻在包包裡
紙飲料杯	Re-lab	手搖杯、飲料杯、一次性飲料杯、珍珠奶茶、手搖飲、紅茶、綠茶、QQㄋㄟㄋㄟ好喝到咩噗茶、四季春	◯	處理-價格誘因低		複雜	"吸管-塑膠（PP/PE/PLA）
封膜-塑膠（PP/PE）
紙杯-紙
塑膠淋膜-塑膠（PE/PP）"		"吸管-塑膠（PP、PE）
封膜-塑膠（PP、PE）
紙杯-紙
塑膠淋膜-塑膠（PE、PP）"	清洗、撕除封膜、正確分類		使用環保杯啦！	"吸管-一般垃圾
封膜-一般垃圾
紙杯-紙容器類
塑膠淋膜-@紙杯"		部分可回收	1,2,5,6,7	"吸管-不可回收
封膜-不可回收
紙杯-可回收
塑膠淋膜-不可回收"	紙容器類：63.97%	廢紙容器：63.97%	廢紙容器：63.97%	塑膠不環保，用紙杯吧！事情哪有這麼簡單。紙包不住火、也包不住水，能夠裝飲料是因為內有一層塑膠淋膜。雖然可以與紙餐盒等有塑膠淋膜的紙容器一同回收，廢紙還能回收，但分離出來的淋膜就會被焚化處理，所以還是多自備環保杯購買吧。		109	A		飲料就會打翻在包包裡
保麗龍飲料杯	Re-lab	手搖杯、飲料杯、一次性飲料杯、珍珠奶茶、手搖飲、紅茶、綠茶、QQㄋㄟㄋㄟ好喝到咩噗茶、四季春	◯	處理-價格誘因低		複雜	"吸管-塑膠（PP/PE/PLA）
封膜-塑膠（PP/PE）
保麗龍杯-塑膠（PS）"		"吸管-塑膠（PP、PE）
封膜-塑膠（PP、PE）
保麗龍杯-塑膠（PS）"	清洗、撕除封膜、正確分類		使用環保杯啦！	"吸管-一般垃圾
封膜-一般垃圾
保麗龍杯-塑膠容器類"		部分可回收	1,2,5,6,7	"吸管-不可回收
封膜-不可回收
保麗龍杯-可回收"	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	雖然近年政府逐向各大業者勸導避免使用保麗龍杯，但至今仍可以買到保麗龍杯裝的飲品。保麗龍杯雖然是可以保冰，材質又能回收，但不耐酸蝕，使用可能釋放有害物質，處理的過程也可能碎成淨灘時最難撿的的微塑膠，為了環境與自己的健康，建議少用吧！		115	B		飲料就會打翻在包包裡
牛奶盒	Re-lab	牛奶紙盒、豆漿	◯	處理-組成物品的材質複雜		複雜	"紙盒-紙
塑膠淋膜-塑膠（PE/PP）
塑膠旋蓋-塑膠（PP/PE）"		"紙盒-紙
塑膠淋膜-塑膠（PE、PP）
鋁箔-鋁
塑膠旋蓋-塑膠（PP、PE）"	清洗、正確分類			"紙盒-紙容器類
塑膠淋膜-@紙盒
塑膠旋蓋-一般塑膠類"		可回收	1,2,5,6,7	"紙盒-可回收
塑膠淋膜-不可回收
塑膠旋蓋-可回收"	紙容器類：63.97%	廢紙容器：63.97%	廢紙容器：63.97%	可以裝盛著牛奶的紙盒其實是因為裡面有一層 PE 或 PP 的塑膠淋膜，牛奶喝完後以水沖洗乾淨後，就可以跟其他廢紙容器交給清潔人員回收處理。塑膠瓶蓋也不用特別拿下來，回收廠會處理喔！		90	A		牛奶就會打翻在包包裡
熱咖啡杯	Re-lab	7-11咖啡、全家咖啡、咖啡杯、咖啡紙杯、超商咖啡杯	◯	處理-不同材質難以分選		複雜	"塑膠杯蓋-塑膠（PP）
紙杯-紙
塑膠淋膜-塑膠（PE/PP）
隔熱杯套-紙"		"塑膠杯蓋-塑膠（PP）
紙杯身-紙
塑膠淋膜-塑膠（PE、PP）
隔熱杯套-紙"	清洗、分解零件、正確分類		使用環保杯啦！	"塑膠杯蓋-塑膠容器類
紙杯-紙容器
塑膠淋膜-@紙杯
隔熱杯套-紙類"		可回收	1,2,5,6,7	"塑膠杯蓋-可回收
紙杯身-可回收
塑膠淋膜-不可回收
隔熱杯套-可回收"	紙容器類：63.97%	廢紙容器：63.97%	廢紙容器：63.97%	每個成功的女性、男性背後，不一定會有支持你的伴侶，但大多有一杯陪你度過一天爆肝燒腦的咖啡。喝完後，紙杯可以與廢紙容器回收，PP 材質的塑膠杯蓋可以廢塑膠容器回收，但如果你每天都需要一杯咖啡，不如自備個杯子，還能享有環保優惠呢！		113	A		熱咖啡就會打翻在包包裡
養樂多	Re-lab	多多、乳酸飲料	◯	處理-價格誘因低		"◯
"	"鋁製封膜-鋁
塑膠瓶-塑膠（PS）"		"鋁製封膜-鋁
塑膠瓶-塑膠（PS）"	清洗、撕除封膜、正確分類			"鋁製封膜-一般垃圾
塑膠瓶-塑膠容器類"		部分可回收	1,2,5,6,7	"鋁製封膜-一般垃圾
塑膠瓶-塑膠容器類"	塑膠容器類：45.79%	廢塑膠容器：93.77%	廢塑膠容器：93.77%	你知道嗎？你喝的養樂多是用「保麗龍」裝的喔！養樂多容器其實跟保麗龍本是同根生，只是製成不同。通常大家喝完可能會跟吃完的便當一起丟入一般垃圾中，但其實應該清洗後跟廢塑膠容器一起交給回收人員，而瓶口含鋁的封膜則丟到一般垃圾。		110	B		養樂多就會打翻在包包裡
雨傘	Re-lab	陽傘、傘	◯	使用-民眾不知道如何回收		◯	"傘骨-鋁/鐵
傘布-尼龍布
握把配件-塑膠"		"傘骨-鋁、鐵、玻璃纖維樹脂
傘布-尼龍布
握把配件-橡膠、塑膠、木、 鋁"	分解零件、正確分類			"傘骨-鐵製品類
傘布-一般垃圾
握把配件-一般塑膠"		部分可回收	5,6	"傘骨-可回收
傘布-不可回收
握把配件-不可回收"	"無資料

"	-	-	雖然雨傘的本質是遺忘，但如果你有幸真的可以把一支用到壞，塑膠傘布跟木頭製的握把應該拆解下來後丟入一般垃圾，而鋁、鐵等金屬製成的傘骨與塑膠的握把則回收處理。仔細拆解後回收不只是讓資源好好再利用，更是向雨傘表達至今以來為我們遮風避雨的感謝之情啊！		121	B		雨傘會一直被拿走
安全帽	Re-lab	安全帽	◯	使用-民眾不知道如何回收		複雜	"外殼-塑膠（ABS）
緩衝內裡塑膠-塑膠（PET）、棉
保麗龍-塑膠（PS）
扣件-塑膠（POM/PA/ABS）"		"外殼-塑膠（ABS）
緩衝內裡-塑膠（PET）、棉
保麗龍-塑膠（PS）
扣件-塑膠（POM、PA、ABS）"	分解零件、正確分類			"外殼-@緩衝內裡
緩衝內裡-一般垃圾
保麗龍-@緩衝內裡
扣件-@緩衝內裡"	桃園市需拆解後回收，臺北市可不拆解直接回收	其他	5	"部分縣市可回收：桃園市
部分需拆解後回收，可不拆解直接回收縣市有臺北市"	"無資料

"	-	-	安全帽如果不再使用時你會怎麼處理呢？其實安全帽的組成包含了：外殼的 ABS 樹脂、夾層內的 PS 保麗龍，緩衝內裡可能使用了 PET 或棉，扣件可能包含了各種塑膠跟金屬。部分縣市如桃園市可以拆開後分別回收，而台北市則可以不拆解直接交給清潔隊。	有一些產品內襯會使用PET	121	B		安全帽就會被偷走
夾腳拖	Re-lab	拖鞋、人字拖	◯			✕	夾腳拖-複合材質	PVC / EVA / TPU 等塑膠彈性體	"不須拆解
鞋底-PVC、EVA、TPU等塑膠彈性體
鞋帶-PVC、EVA、TPU等塑膠彈性體"	正確分類			夾腳拖-一般垃圾		不可回收	5	不可回收	-	0%	0%	夾腳拖的材質通常為 PVC、EVA、TPU 等彈性橡塑膠，因為複合材質混雜，回收效率差，幾乎只能直接丟入一般垃圾焚化或掩埋。最好的辦法還是穿久一點，或在一開始就挑選品質更好、耐久的。是說，海邊也很常撿到廢棄拖鞋呢，去海邊時不要不小心搞丟呀！		120	B		夾腳拖人字的地方會斷掉
鋁罐	Re-lab	啤酒罐、可口可樂、可樂、啤酒、百事可樂、雪碧、汽水	◯			✕	鋁罐-鋁		不須拆解-鋁	清洗、壓扁或攤平、正確分類			鋁罐-廢鐵鋁容器		可回收	1,2,5,6,7	可回收	廢鐵鋁容器：45.79%	廢鐵鋁容器：97.82%	廢鐵鋁容器：97.82%	每到夏天就可能會想來點清涼的飲料，除了手搖飲料跟瓶裝飲料外，罐裝的汽水、啤酒常也是熱門選擇。鋁罐的材質主要為鋁，因為它質地輕、抗酸的特性而成為飲料包裝的首選。雖然環保署公告回收率不高，但鋁罐在市場上回收率還算高的。		107	A		易拉罐拉環會斷掉
玻璃瓶	Re-lab	啤酒瓶、酒瓶、酒精瓶、可樂、台啤、台灣啤酒	◯			◯	"玻璃罐-玻璃
瓶蓋-鐵"		"玻璃罐-玻璃
瓶蓋-鐵"	清洗、正確分類			"玻璃罐-玻璃容器類
瓶蓋-鐵製品類"		可回收	1,2,5,6	可回收	玻璃容器類：78.63%	廢玻璃容器：97.21%	廢玻璃容器：97.21%	玻璃即使號稱有好棒棒的高回收率，但因為質重所以業者回收意願低；因為易碎，所以回收運送過程中經常會破碎混雜，這些都會影響讓玻璃的重生之路無比艱辛。盡可能妥善收集、乾淨分類，或家中的玻璃瓶盡可能重複使用，特殊的玻璃瓶（如米酒）交由業者回收還能換取回退瓶費呢。		127	A		玻璃瓶就會打翻在包包裡
髒髒塑膠袋		塑膠袋、油油的塑膠袋、外食、外帶	◯	◯	◯		透明塑膠袋-塑膠（PE/PP）		不需拆解-塑膠（PE、PP ）	正確分類		自備餐盒、使用環保袋	髒髒塑膠袋-一般垃圾		不可回收	1,2,3,4,5,6,7	不可回收	-	-	-	塑膠袋雖然可以回收，但其實是「乾淨、透明限定」，如果是不透光、或裡頭有食物殘渣、油漬等的塑膠袋，就失去了回收價值。一般在外帶像是湯麵等食物的塑膠袋，其實後續都沒辦法回收。其實這樣講，無法被回收的塑膠袋其實很多呢！		106	C		看電影都會被後面的人踢椅背
